name,type,region,locality,geolocation
Аптечные насыпи,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
аптека Вейерсберга,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
аптека Крюгера,архитектура,Алтайский край,Барнаул,"(Decimal('83.776856'), Decimal('53.346785'))"
Аптечный горнодобывающий отдел,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.449899'), Decimal('56.796382'))"
Аракчеевский кадетский корпус,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Арка 140-летия города - курорт Горячий Ключ,архитектура,Краснодарский край,Горячая клавиша,"(Decimal('39.136426'), Decimal('44.634246'))"
Арка «Золотые ворота» («Альтн Бош»),архитектура,Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Арка в честь 50-летия курорта Горячий Ключ,архитектура,Краснодарский край,Горячая клавиша,"(Decimal('39.136426'), Decimal('44.634246'))"
триумфальная арка,архитектура,Кабардино-Балкарская Республика,,"(Decimal('43.408274'), Decimal('43.494396'))"
Арсенал. Ижевский Кремль,архитектура,Удмуртская республика,Ижевск,"(Decimal('53.180418'), Decimal('56.822306'))"
Арсенальная (Вольская) башня,архитектура,Ярославская область,Ярославль,"(Decimal('39.893804'), Decimal('57.626559'))"
Архангельский поселок,архитектура,Республика Марий Эл,Йошкар-Ола,"(Decimal('47.902995'), Decimal('56.632818'))"
Археологический комплекс «Гнездово».,архитектура,Смоленская область,,"(Decimal('31.863863'), Decimal('54.782464'))"
Епископский дом,архитектура,Пермь,Пермский,"(Decimal('56.253967'), Decimal('58.006473'))"
Епископский дом,архитектура,Пензенская область,Пенза,"(Decimal('45.004715'), Decimal('53.173479'))"
Архиерейский дом на Печорском подворье,архитектура,Псковская область,Псков,Not found
Архитектурный ансамбль Соборной горы,архитектура,Смоленская область,Смоленск,Not found
Горизонт города Кыштым,архитектура,Челябинская область,Аргаяш,Not found
Архитектурный ансамбль площади имени Ленина,архитектура,Ростовская область,Волгодонск,"(Decimal('42.156436'), Decimal('47.515772'))"
Архитектурный ансамбль села Великорецкое.,архитектура,Кировская область,Великорецкое,"(Decimal('49.16272'), Decimal('58.955449'))"
Архитектурный ансамбль центральной площади,архитектура,Курганская область,Курган,Not found
Архитектурный комплекс Лезгор,архитектура,Республика Северная Осетия - Алания,Лезгор,"(Decimal('43.770268'), Decimal('43.015099'))"
Архитектурный комплекс Советской площади,архитектура,Республика Башкортостан,Уфа,"(Decimal('55.958727'), Decimal('54.735147'))"
Архитектурный комплекс Суздальского кремля.,архитектура,Владимирская область,Суздаль,"(Decimal('40.449457'), Decimal('56.419836'))"
Архитектурный комплекс Тля,архитектура,Республика Северная Осетия - Алания,,"(Decimal('43.892359'), Decimal('42.666152'))"
Архитектурный комплекс села Галиат,архитектура,Республика Северная Осетия - Алания,Галиат,"(Decimal('43.847811'), Decimal('42.920194'))"
Архитектурный комплекс магазинов,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Архитектурный комплекс магазинов в Кирове,архитектура,Кировская область,Киров,"(Decimal('49.689313'), Decimal('58.521682'))"
Астраханская государственная консерватория,архитектура,Астраханская область,Астрахань,"(Decimal('47.969722'), Decimal('46.436952'))"
Астраханский Кремль,архитектура,Астраханская область,Астрахань,"(Decimal('47.948719'), Decimal('46.286977'))"
Базановский детский дом,архитектура,Иркутская область,Иркутск,"(Decimal('113.795679'), Decimal('57.820324'))"
Байдарские ворота,архитектура,Севастополь,Орлиное,"(Decimal('33.77307'), Decimal('44.444772'))"
бактериологический институт,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Бальга,архитектура,Калининградская область,,"(Decimal('19.975954'), Decimal('54.545219'))"
Банк Волга-Кама,архитектура,Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Банк внешней торговли,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Усадебный дом Ляховых,архитектура,Республика Башкортостан,Спартак,"(Decimal('54.349764'), Decimal('54.18571'))"
Башенные комплексы Вовнушки,архитектура,Республика Ингушетия,,"(Decimal('44.994852'), Decimal('42.800697'))"
Жилой комплекс Tower Huli,архитектура,Республика Ингушетия,,"(Decimal('44.804086'), Decimal('42.811544'))"
Башенный комплекс Бейн,архитектура,Республика Ингушетия,Бэйн,"(Decimal('44.714281'), Decimal('42.831627'))"
Башенный комплекс Былган,архитектура,Республика Ингушетия,,"(Decimal('44.789731'), Decimal('42.798586'))"
Башенный комплекс Гадаборш,архитектура,Республика Ингушетия,,"(Decimal('44.900017'), Decimal('42.821597'))"
Карты башенного комплекса,архитектура,Республика Ингушетия,,"(Decimal('44.880371'), Decimal('42.827264'))"
Башенный комплекс Ляжги,архитектура,Республика Ингушетия,Ляжги,"(Decimal('44.734484'), Decimal('42.808773'))"
Башенный комплекс Моцар,архитектура,Чеченская Республика,,"(Decimal('45.370285'), Decimal('42.890173'))"
Башенный комплекс Нидж,архитектура,Республика Ингушетия,Пялинг,"(Decimal('44.98798'), Decimal('42.825227'))"
Башенный комплекс Оздик,архитектура,Республика Ингушетия,Лэми,"(Decimal('44.900807'), Decimal('42.830173'))"
Башенный комплекс САЛГА,архитектура,Республика Ингушетия,,"(Decimal('44.819986'), Decimal('42.797918'))"
Башенный комплекс Тарг,архитектура,Республика Ингушетия,Таргим,"(Decimal('44.942354'), Decimal('42.835125'))"
Башенный комплекс Тори,архитектура,Республика Ингушетия,,"(Decimal('44.920534'), Decimal('42.843085'))"
Башенный комплекс Кори,архитектура,Республика Ингушетия,,"(Decimal('45.094394'), Decimal('42.806319'))"
Башенный комплекс Соан,архитектура,Республика Ингушетия,Шоани,Not found
Башенный комплекс Эрзи,архитектура,Республика Ингушетия,,"(Decimal('44.759574'), Decimal('42.80362'))"
Башенный комплекс в селе Эгикал,архитектура,Республика Ингушетия,Эгикхал,Not found
башни Туаева,архитектура,Республика Северная Осетия - Алания,лекарство,"(Decimal('43.910711'), Decimal('42.671548'))"
Башни рода Гагиева,архитектура,Республика Ингушетия,Алкун,"(Decimal('45.012818'), Decimal('42.979241'))"
башня Абисалова,архитектура,Республика Северная Осетия - Алания,Дунта,"(Decimal('43.849886'), Decimal('42.900978'))"
башня Бзыковых,архитектура,Республика Северная Осетия - Алания,Донисар,"(Decimal('44.19872'), Decimal('42.862933'))"
башня Бублейка,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Громовая башня,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
башня Долгочевская,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
башня Елоева,архитектура,Республика Северная Осетия - Алания,,"(Decimal('44.262033'), Decimal('43.092669'))"
башня Кантемирова,архитектура,Республика Северная Осетия - Алания,Кусс,"(Decimal('43.633689'), Decimal('42.904042'))"
Башня Кокуи и «Галерея времени»,архитектура,Новгородская область,Новгород,Not found
Курт и Тага Тауэр,архитектура,Республика Северная Осетия - Алания,верхний Фиагдон,"(Decimal('44.306958'), Decimal('42.83418'))"
башня Мамсурова,архитектура,Республика Северная Осетия - Алания,,"(Decimal('44.262033'), Decimal('43.092669'))"
Тауэр Мосс (Маховая),архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Орлиная башня,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
башня Позднякова,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Башня ратуши,архитектура,Ленинградская область,Выборг,"(Decimal('28.730117'), Decimal('60.714211'))"
Башня Согласия,архитектура,Республика Ингушетия,Магас,"(Decimal('44.81624'), Decimal('43.171501'))"
башня Таймазова,архитектура,Республика Северная Осетия - Алания,Кусс,"(Decimal('43.633689'), Decimal('42.904042'))"
башня Хатаговых,архитектура,Республика Северная Осетия - Алания,Донифарс,"(Decimal('43.7646'), Decimal('42.999975'))"
башня Хестановых,архитектура,Республика Северная Осетия - Алания,Донисар,"(Decimal('44.19872'), Decimal('42.862933'))"
Башня Шамиля,архитектура,Курская область,Льгов,"(Decimal('35.259432'), Decimal('51.656942'))"
башня ветров,архитектура,Севастополь,,"(Decimal('33.525369'), Decimal('44.616604'))"
любители башни,архитектура,Кабардино-Балкарская Республика,Нальчик,"(Decimal('43.607072'), Decimal('43.485259'))"
башня кровники,архитектура,Республика Северная Осетия - Алания,,"(Decimal('44.262033'), Decimal('43.092669'))"
Башня кровники над Кахтисаром,архитектура,Республика Северная Осетия - Алания,Кобан,Not found
Башня с часами Государственного банка,архитектура,Нижегородская область,Нижний Новгород,Not found
Белая Башня,архитектура,Свердловская область,Екатеринбург,"(Decimal('61.372065'), Decimal('57.389991'))"
Белая башня Нижегородского кремля.,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.448685'), Decimal('55.830038'))"
Кремль Белозерское.,архитектура,Вологодская область,Ши,"(Decimal('37.789016'), Decimal('60.030843'))"
Белозерский кремль и городская стена,архитектура,Вологодская область,Ши,"(Decimal('37.789016'), Decimal('60.030843'))"
Белорусский вокзал,архитектура,Москва,,"(Decimal('37.581496'), Decimal('55.776618'))"
Белый дом,архитектура,Иркутская область,Иркутск,"(Decimal('104.357736'), Decimal('52.249324'))"
берёзовый дом,архитектура,Ленинградская область,,"(Decimal('28.617441'), Decimal('60.300988'))"
АН беседка Островского,архитектура,Костромская область,Кострома,"(Decimal('40.913797'), Decimal('57.771907'))"
беседка Шамиля,архитектура,Республика Дагестан,Гуни,"(Decimal('46.964318'), Decimal('42.387091'))"
Беседка на набережной Волги,архитектура,Ярославская область,Ярославль,Not found
Библиотека Академии наук,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Бирючанские торговые ряды,архитектура,Белгородская область,одинокий волк,"(Decimal('38.400553'), Decimal('50.648389'))"
Благовещенская башня,архитектура,Республика Марий Эл,Йошкар-Ола,"(Decimal('47.886178'), Decimal('56.631595'))"
Церковь евангельских христиан-баптистов «Благодать»,архитектура,Красноярский край,Красноярск,Not found
дворянство,архитектура,Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Блиновский проезд,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Блокадная подстанция,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Богоявленский (зимний) собор,архитектура,Ярославская область,Углич,"(Decimal('38.319372'), Decimal('57.526592'))"
Боевая башня Бек Чельдиева,архитектура,Республика Северная Осетия - Алания,Згиль,Not found
Боевая башня Боциева,архитектура,Республика Северная Осетия - Алания,лекарство,"(Decimal('43.910711'), Decimal('42.671548'))"
Боевая башня Габисова в Халгоне,архитектура,Республика Северная Осетия - Алания,,Not found
Боевая башня в деревне Зубанчи.,архитектура,Республика Дагестан,,Not found
Серия «Большая гостиная»,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('107.584574'), Decimal('51.834464'))"
Серия «Большая гостиная»,архитектура,Республика Бурятия,,"(Decimal('110.71311'), Decimal('54.934805'))"
Большая серия муки,архитектура,Костромская область,Кострома,"(Decimal('40.924792'), Decimal('57.767568'))"
Большой Гостиный Двор,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.329514'), Decimal('59.929245'))"
Большой дом на Литейном заводе,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Борисоглебская башня Нижегородского кремля.,архитектура,Нижегородская область,Нижний Новгород,Not found
Дом Ботнии,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.278606'), Decimal('59.958525'))"
Бранденбург,архитектура,Калининградская область,Ушаково,"(Decimal('20.235639'), Decimal('54.608973'))"
Бывшая Пермская духовная семинария,архитектура,Пермь,Пермский,"(Decimal('56.234914'), Decimal('58.009129'))"
Бывшая гимназия,архитектура,Брянская область,Стародуб,"(Decimal('32.760346'), Decimal('52.585277'))"
Бывшая религиозная школа,архитектура,Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Бывшее здание Банка взаимного кредита,архитектура,Забайкальский край,Сретенск,Not found
Бывшее здание театра 501-я стройка.,архитектура,Ямало-Ненецкий автономный округ,Салехард,Not found
Бывшая усадьба Югской Дорофеевой пустыни,архитектура,Ярославская область,Рыбинск,Not found
Бывшая баня Кашинская,архитектура,Пермь,Пермский,"(Decimal('56.553313'), Decimal('61.23108'))"
Бывший дом Дворянского собрания,архитектура,Смоленская область,Смоленск,"(Decimal('34.207091'), Decimal('55.489667'))"
Бывший дом Дворянского собрания в Смоленске.,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Бывший дом Энгельгардта в Смоленске,архитектура,Смоленская область,Смоленск,Not found
Бывший дом смоленского губернатора,архитектура,Смоленская область,Смоленск,"(Decimal('32.082333'), Decimal('54.770842'))"
Бывший дом купца Ланина,архитектура,Смоленская область,Смоленск,"(Decimal('34.207091'), Decimal('55.489667'))"
Бывший торговый дом Фаберже,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.332424'), Decimal('59.928807'))"
Купальной корпус Николая II (Верхняя баня),архитектура,Ставропольский край,Ессентуки,Not found
баня Островского,архитектура,Ставропольский край,Железноводск,"(Decimal('43.136875'), Decimal('44.084718'))"
Введенский замок,архитектура,Республика Крым,Изобильное,"(Decimal('34.352142'), Decimal('44.706694'))"
вдовы Главная,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Верхнебазарное торговое объединение,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Ветряная мельница,архитектура,Белгородская область,Меняйлово,"(Decimal('38.752899'), Decimal('50.528627'))"
Ветряная мельница,архитектура,Белгородская область,Демидовка,"(Decimal('35.392104'), Decimal('50.947035'))"
винный склад,архитектура,Пермь,Соликамск,"(Decimal('56.572573'), Decimal('59.755304'))"
Витебский вокзал,архитектура,Санкт-Петербург,,"(Decimal('30.329181'), Decimal('59.919901'))"
Владимирская площадь,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.34748'), Decimal('59.928257'))"
Власьевская башня,архитектура,Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Водонапорная башня,архитектура,Республика Коми,Инта,"(Decimal('60.115367'), Decimal('66.03682'))"
Водонапорная башня,архитектура,Красноярский край,Ханабадский,"(Decimal('94.328297'), Decimal('55.813172'))"
Водонапорная башня,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.901278'), Decimal('54.983763'))"
Водонапорная башня,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Водонапорная башня,архитектура,Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Водонапорная башня в Старой Руссе.,архитектура,Новгородская область,Старая Русса,"(Decimal('31.355452'), Decimal('57.990715'))"
Водонапорная башня во Владимире.,архитектура,Владимирская область,,Not found
Водонапорная башня с дымоходом,архитектура,Новосибирская область,проклинать,Not found
Водонапорные башни,архитектура,Курганская область,Курган,"(Decimal('65.341118'), Decimal('55.441004'))"
Водяная мельница,архитектура,Курская область,Красников,"(Decimal('36.402637'), Decimal('51.235774'))"
Водяная мельница в деревне Лох,архитектура,Саратовская область,дурак,Not found
Военный санаторий в Гурзуфе.,архитектура,Республика Крым,,"(Decimal('36.390456'), Decimal('45.225904'))"
Станция Оренбург,архитектура,Оренбургская область,Оренбург,"(Decimal('55.074327'), Decimal('51.776581'))"
Волго-Донской канал,архитектура,Волгоградская область,,"(Decimal('43.52943'), Decimal('48.62269'))"
Волгоградская консерватория. П. А. Серебряков,архитектура,Волгоградская область,Волгоград,"(Decimal('44.335848'), Decimal('48.683577'))"
Волгоградский государственный медицинский университет,архитектура,Волгоградская область,Волгоград,"(Decimal('44.543296'), Decimal('48.734296'))"
Волгоградский государственный педагогический университет (главный корпус),архитектура,Волгоградская область,Волгоград,"(Decimal('44.543296'), Decimal('48.734296'))"
Волгоградский государственный технический университет,архитектура,Волгоградская область,Волгоград,"(Decimal('44.543296'), Decimal('48.734296'))"
Волгоградский технический колледж (гидромелиоративный колледж),архитектура,Волгоградская область,Волгоград,"(Decimal('44.543296'), Decimal('48.734296'))"
Волгоградское областное статистическое управление (1-я Мариинская женская гимназия),архитектура,Волгоградская область,Волгоград,Not found
Волжская ГЭС,архитектура,Волгоградская область,Волжский,"(Decimal('44.780487'), Decimal('48.771558'))"
Ворота в Долину Царей,архитектура,Республика Хакасия,камыши,Not found
Надвратная башня Гостиного двора.,архитектура,Новгородская область,Новгород,Not found
приют для подкидышей,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.278606'), Decimal('59.958525'))"
Вторая мужская гимназия,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Второе пожарное депо в Благовещенске,архитектура,Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Здание Красных ворот,архитектура,Москва,,Not found
Выставочный комплекс «Сестрорецкий заграничный»,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Вятская женская гимназия.,архитектура,Кировская область,Киров,"(Decimal('49.747317'), Decimal('58.608011'))"
Вятский государственный педагогический университет,архитектура,Кировская область,Киров,"(Decimal('49.745916'), Decimal('58.641864'))"
Вятское земское реальное училище,архитектура,Кировская область,Киров,"(Decimal('48.734871'), Decimal('58.057617'))"
Жвачка,архитектура,Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Галерная гавань,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.223961'), Decimal('59.93571'))"
Гауптвахта,архитектура,Костромская область,Кострома,"(Decimal('40.926858'), Decimal('57.767961'))"
Георгиевская башня Нижегородского кремля,архитектура,Нижегородская область,Нижний Новгород,Not found
Георгиевский собор в Гусь-Хрустальном,архитектура,Владимирская область,,"(Decimal('41.705563'), Decimal('55.660287'))"
Гердауэн,архитектура,Калининградская область,железная дорога,"(Decimal('21.305308'), Decimal('54.360931'))"
Гимназия имени А.Л. Кекина,архитектура,Ярославская область,Ростов,"(Decimal('39.414526'), Decimal('57.185866'))"
Гимназия №2 им. В.Г. Короленко,архитектура,Республика Крым,Керчь,"(Decimal('36.467378'), Decimal('45.356219'))"
Школа №32,архитектура,Ивановская область,Иваново,"(Decimal('40.973921'), Decimal('57.000348'))"
Главный корпус Мариинской больницы,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.320818'), Decimal('59.922165'))"
Главные ворота парка Мон Репо,архитектура,Ленинградская область,Выборг,"(Decimal('28.72576'), Decimal('60.732374'))"
Главный дом купца Дементьева,архитектура,Красноярский край,Питорафик,Not found
Главный дом Усадьба М.И. Сизова,архитектура,Нижегородская область,Нижний Новгород,Not found
Главный корпус Ижевского оружейного завода,архитектура,Удмуртская республика,Ижевск,Not found
почтовое отделение,архитектура,Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
почтовое отделение,архитектура,Санкт-Петербург,,"(Decimal('30.315868'), Decimal('59.939095'))"
почтовое отделение,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
почтовое отделение,архитектура,Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
дом Глебова,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.278606'), Decimal('59.958525'))"
Голландский дом Петра I,архитектура,Москва,,"(Decimal('37.804979'), Decimal('55.736371'))"
Горный институт,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.318545'), Decimal('59.916342'))"
Шахматный город в Элисте,архитектура,Республика Калмыкия,Элиста,"(Decimal('44.261638'), Decimal('46.307319'))"
Полицейский-магистрат,архитектура,Пермь,Кунгур,"(Decimal('56.944206'), Decimal('57.42881'))"
Городская пожарная часть,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Городская публичная библиотека,архитектура,Ярославская область,Углич,"(Decimal('38.319372'), Decimal('57.526592'))"
Городская телефонная станция,архитектура,Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Правительство города,архитектура,Пермь,Кунгур,"(Decimal('56.944206'), Decimal('57.42881'))"
городская власть,архитектура,Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Городская Николаевская школа,архитектура,Тюменская область,Тюмень,"(Decimal('69.420835'), Decimal('56.107122'))"
Городской женский колледж,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.923619'), Decimal('55.012532'))"
Городской жилой дом,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
"Гостиница «Арктика», самое лучшее в мире здание за Полярным кругом.",архитектура,Мурманская область,Мурманск,Not found
"Отель ""Бристоль""",архитектура,Воронежская область,Воронеж,"(Decimal('39.200269'), Decimal('51.660781'))"
"Отель ""Версаль""",архитектура,Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
"Гостиница ""Волгоград""",архитектура,Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
"Отель ""Империал""",архитектура,Республика Северная Осетия - Алания,Владикавказ,"(Decimal('44.68196'), Decimal('43.02115'))"
"Гостиница ""Ленинград""",архитектура,Москва,,"(Decimal('37.44497'), Decimal('55.881485'))"
"Гостиница ""Метрополь""",архитектура,Москва,,"(Decimal('37.56609'), Decimal('55.752825'))"
"Гостиница ""Националь""",архитектура,Москва,,"(Decimal('37.56609'), Decimal('55.752825'))"
"Гостиница ""Украина""",архитектура,Москва,,Not found
"Гостиница ""Центральная""",архитектура,Кировская область,Киров,"(Decimal('49.578524'), Decimal('58.637574'))"
Отель А.Е. Лукьянов,архитектура,Амурская область,Благовещенск,"(Decimal('128.923622'), Decimal('51.639551'))"
Отель Централ,архитектура,Ивановская область,Иваново,"(Decimal('40.902442'), Decimal('57.004211'))"
Купец гостиницы В.Ю. Атаманова,архитектура,Свердловская область,Екатеринбург,Not found
Гостиница Никитина купцов,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Живая серия,архитектура,Республика Бурятия,Кяхтинский,"(Decimal('106.449903'), Decimal('50.355214'))"
Гостиный Двор,архитектура,Пермь,Кунгур,"(Decimal('56.944206'), Decimal('57.42881'))"
Гостиный Двор,архитектура,Архангельская область,Архангельск,"(Decimal('46.504372'), Decimal('61.61071'))"
Гостиный Двор,архитектура,Тюменская область,Тюмень,"(Decimal('65.554513'), Decimal('57.229939'))"
Гостиный Двор,архитектура,Тюменская область,Тобольск,"(Decimal('68.253762'), Decimal('58.201698'))"
Гостиный двор (красная серия),архитектура,Костромская область,Кострома,"(Decimal('46.655361'), Decimal('59.192647'))"
Гостиный двор в Калуге.,архитектура,Калужская область,Калуга,"(Decimal('36.255268'), Decimal('54.568625'))"
Городские комплексы по улице Волгодонской,архитектура,Волгоградская область,Волгоград,"(Decimal('43.721652'), Decimal('48.635284'))"
Графская набережная,архитектура,Севастополь,,"(Decimal('33.526941'), Decimal('44.616969'))"
Гремячая башня,архитектура,Псковская область,Псков,"(Decimal('28.349043'), Decimal('57.823386'))"
Гросс Фонсдорф,архитектура,Калининградская область,спа,"(Decimal('21.126902'), Decimal('54.465387'))"
Дом губернатора,архитектура,Ярославская область,Ярославль,"(Decimal('39.857944'), Decimal('57.640937'))"
